,Director,Director Counts
2867,"David Winters, Neal Sundstrom(co-director)",1
2868,Jim Goddard,4
2869,Bill Fishman,2
2870,Albert Band,1
2871,Jet Li,1
2872,Tom Moore,1
2873,Paul Morrissey,1
2874,Michael Pataki,1
2875,Jack Gold,8
2876,"Michael Findlay, Horacio Fredriksson, Simon Nuchtern",1
2877,D'Urville Martin,1
2878,Marty Feldman,2
2879,René Cardona Jr.,1
2880,Ernest Pintoff,1
2881,Arthur Marks,2
2882,Terence Young,4
2883,Amando de Ossorio,1
2884,"Volker Schlöndorff, Margarethe von Trotta",1
2885,Jacques Rivette,1
2886,Tom Laughlin,2
2887,Massimo Dallamano,1
2888,Yves Robert,1
2889,Lina Wertmüller,3
2890,Frank D. Gilroy,1
2891,Joseph Losey,4
2892,John 'Bud' Cardos,1
2893,Harold Prince,1
2894,Nello Rossati,1
2895,Bertrand Blier,3
2896,George Kaczender,1
2897,Jeff Margolis,2
2898,Ferdinand Fairfax,2
2899,Antonio Margheriti,2
2900,Jack Haley Jr.,1
2901,Dale Schott,1
2902,"Bob Weinstein, Harvey Weinstein",1
2903,Daniel Goldberg,1
2904,"Mark Herrier, Alan Ormsby",1
2905,Jonathan Wacks,2
2906,Louis Morneau,2
2907,Timothy Björklund,1
2908,Sergio Sollima,2
2909,Sylvio Tabet,1
2910,Roger Corman,1
2911,Jörg Buttgereit,1
2912,David Irving,1
2913,Radha Bharadwaj,1
2914,Robert Dyke,1
2915,J.R. Bookwalter,1
2916,George Pavlou,1
2917,Lee Harry,1
2918,Marisa Silver,1
2919,Deborah Brock,1
2920,Mike Marvin,2
2921,Michael Seresin,1
2922,Sandor Stern,1
2923,Martin Donovan,1
2924,Bob Swaim,2
2925,Bill Sherwood,1
2926,Malcolm Mowbray,1
2927,Michael Rae,1
2928,Roger Watkins,1
2929,Denis Héroux,1
2930,Richard Compton,3
2931,"Richard C. Bennett, Ralph Senensky",1
2932,"Ovidio G. Assonitis, Robert Barrett",1
2933,"Roy Ward Baker, Cheh Chang",1
2934,Derek Jarman,6
2935,Al Adamson,1
2936,Don Hulette,1
2937,George Cukor,3
2938,Don Sharp,2
2939,Eddie Romero,1
2940,Jerry Lewis,1
2941,Andrew Sinclair,1
2942,Paul Glickler,1
2943,Freddie Francis,4
2944,Jacques Tati,1
2945,Guy Green,1
2946,Sandy Harbutt,1
2947,Tonino Valerii,2
2948,Robert Enrico,1
2949,Pupi Avati,1
2950,Joe D'Amato,1
2951,Franklin J. Schaffner,3
2952,Alain Resnais,2
2953,Robert Bresson,1
2954,John A. Alonzo,1
2955,"Roger Spottiswoode, Buzz Kulik",1
2956,Delbert Mann,4
2957,Fernando Di Leo,8
2958,Dom DeLuise,1
2959,Bruce Bilson,1
2960,Joe Layton,1
2961,Charles Band,2
2962,Stanley R. Jaffe,1
2963,Roger Young,6
2964,Douglas Day Stewart,2
2965,Steven Hahn,1
2966,Tamar Simon Hoffs,1
2967,Frank Perry,4
2968,Jeff Blyth,1
2969,"David Greenwalt, Aaron Russo",1
2970,Heywood Gould,2
2971,Lizzie Borden,1
2972,Marc Levin,1
2973,Kevin Brodie,1
2974,Maurice Joyce,1
2975,Carlos Ávila,1
2976,Bruce Pittman,1
2977,Bob Dahlin,1
2978,Jack Bravman,1
2979,David DeCoteau,1
2980,Jackie Kong,1
2981,Paul Golding,1
2982,Dick Clement,1
2983,Alexandre Arcady,1
2984,David Drury,1
2985,Peter Collinson,1
2986,José Ramón Larraz,2
2987,Val Guest,2
2988,Jean LaFleur,1
2989,Duccio Tessari,1
2990,Bob Kellett,1
2991,Jane Wagner,1
2992,Richard Moore,1
2993,James Kenelm Clarke,1
2994,Jan Troell,2
2995,George Schaefer,8
2996,Quentin Masters,1
2997,Doris Wishman,1
2998,Fred Haines,1
2999,John Hayes,2
3000,Jeff Lieberman,2
3001,Colin Eggleston,1
3002,Herschell Gordon Lewis,1
3003,Michael Tuchner,3
3004,Donald W. Thompson,1
3005,Milton Katselas,2
3006,Robert Scheerer,1
3007,Floyd Mutrux,3
3008,Gy Waldron,1
3009,Kirk Douglas,1
3010,Paul Annett,1
3011,Richard Friedenberg,1
3012,Guerdon Trueblood,1
3013,Fielder Cook,2
3014,Frank Beyer,1
3015,"Mark Haggard, Bruce Kimmel",1
3016,Stanley Kramer,1
3017,Joseph Brooks,1
3018,Moshé Mizrahi,1
3019,Claude Goretta,1
3020,Anthony Page,6
3021,Bob Dylan,1
3022,Joan Rivers,1
3023,Ken Hughes,1
3024,Noel Nosseck,1
3025,Piers Haggard,2
3026,Andrzej Wajda,1
3027,"Mario Bava, Lamberto Bava",1
3028,Otto Preminger,2
3029,Richard Quine,1
3030,Peter Fonda,2
3031,Worth Keeter,1
3032,"Malcolm Leo, Andrew Solt",2
3033,James Burrows,1
3034,Richard Pryor,2
3035,Édouard Molinaro,2
3036,Hy Averback,1
3037,Harvey Miller,1
3038,Lawrence Dane,1
3039,"Bernard Deyriès, Kimio Yabuki",1
3040,Michelle Manning,1
3041,Jack Fisk,1
3042,Terry Leonard,1
3043,Raymond Jafelice,1
3044,Charlie Loventhal,1
3045,David Stevens,1
3046,Camilo Vila,1
3047,Will Mackenzie,1
3048,Robert Wise,4
3049,Richard Baskin,1
3050,Paul Schibli,1
3051,Jon Acevski,1
3052,Alan Spencer,1
3053,"Yurek Bogayevicz, Mitch Glazer",1
3054,Wesley Strick,1
3055,Stephen Deutsch,1
3056,Ari Sandel,2
3057,"Laurence Olivier, John Sichel(co-director)",1
3058,Bryan Izzard,1
3059,Terence Fisher,1
3060,Fons Rademakers,1
3061,Ivan Dixon,1
3062,Ossie Davis,1
3063,Lionel Jeffries,2
3064,Thomas McGuane,1
3065,Maximilian Schell,2
3066,Alan Bridges,1
3067,Peter Duffell,1
3068,"Barrie McLean, Kristen Weingartner",1
3069,David Giler,1
3070,William Crain,1
3071,Oscar Williams,1
3072,Alain Tanner,1
3073,William Grefé,1
3074,Vincente Minnelli,1
3075,Akira Katô,1
3076,William A. Levey,1
3077,Corey Allen,1
3078,Jean Beaudin,1
3079,Philippe de Broca,1
3080,Chuck Barris,1
3081,Claudia Weill,1
3082,Éric Rohmer,4
3083,Michael O'Donoghue,1
3084,Michael Preece,1
3085,Anthony Harvey,4
3086,Stephen Verona,1
3087,Robert Taylor,2
3088,Andrew J. Kuehn,1
3089,Carlos Saura,1
3090,Neville de Almeida,1
3091,"Don Lusk, Ray Patterson, Alan Zaslove",1
3092,Andrew Lane,1
3093,Zoran Perisic,1
3094,Jerry Belson,1
3095,Raoul Ruiz,1
3096,Joel Bender,1
3097,Charles Lane,1
3098,Stephen Wallace,1
3099,Lisa Comrie,1
3100,"Catherine Owens, Mark Pellington",1
3101,Fred Ashman,1
3102,Steven Lawrence,1
3103,Lance D. Hayes,1
3104,Orson Welles,1
3105,Norman Earl Thomson,1
3106,Vincent Patouillard,1
3107,Jim Clark,1
3108,Jack Chambers,1
3109,Jason Moore,2
3110,Tom Hooper,4
3111,Stephen Chbosky,1
3112,Michael Mohan,1
3113,Sean Garrity,1
3114,"Nathan Greno, Byron Howard",1
3115,Leslye Headland,1
3116,"Paul Weitz, Chris Weitz",1
3117,Steve Antin,1
3118,Colin Trevorrow,1
3119,Michael Sucsy,2
3120,"Brian Klugman, Lee Sternthal",1
3121,Ben Lewin,1
3122,George Nolfi,1
3123,Juan Solanas,1
3124,Scott Speer,1
3125,Allen Coulter,2
3126,Lorene Scafaria,1
3127,"Danny Boyle, Loveleen Tandan(co-director)",1
3128,Jacques Audiard,2
3129,Adam Brooks,1
3130,Dan Mazer,2
3131,"David Palmer, Dax Shepard",1
3132,Mark Levin,1
3133,Rajkumar Hirani,1
3134,Kannan Iyer,1
3135,Michel Hazanavicius,1
3136,Michael Patrick King,2
3137,Jamie Linden,1
3138,"Carlos Saldanha, Mike Thurmeier(co-director)",1
3139,"Anna Boden, Ryan Fleck",3
3140,Florian Henckel von Donnersmarck,1
3141,Julian Farino,1
3142,Alan Poul,1
3143,Mark Helfrich,1
3144,Jaco Van Dormael,1
3145,Cary Joji Fukunaga,2
3146,Peter Templeman,1
3147,Kelly Asbury,2
3148,Gavin Wiesen,1
3149,"Chris Buck, Kevin Lima",1
3150,Phyllida Lloyd,2
3151,Craig Zobel,1
3152,"Matt Bettinelli-Olpin, David Bruckner, Tyler Gillett, Justin Martinez, Glenn McQuaid, Radio Silence, Joe Swanberg, Chad Villella, Ti West, Adam Wingard",1
3153,J.C. Chandor,2
3154,Sergio Leone,1
3155,Christopher Morris,1
3156,Michael J. Gallagher,1
3157,"Colin Minihan, Stuart Ortiz, The Vicious Brothers",1
3158,Stig Svendsen,1
3159,Antony Hoffman,1
3160,Daniel Nettheim,1
3161,"Alex Gregory, Peter Huyck",1
3162,Thomas Schlamme,1
3163,Randall Wallace,3
3164,"Daniel Myrick, Eduardo Sánchez",1
3165,"Declan Donnellan, Nick Ormerod",1
3166,Mitchell Lichtenstein,1
3167,Lee Kirk,1
3168,Dan Rush,1
3169,Todd Kessler,1
3170,"Charles Crichton, John Cleese",1
3171,Carles Torrens,1
3172,Angel Gracia,1
3173,William Shatner,1
3174,Lisa Azuelos,1
3175,Jennifer Westfeldt,1
3176,Andrew Jarecki,2
3177,Drake Doremus,2
3178,"John O. Hartman, Nicholas Mross",1
3179,Jeong-beom Lee,1
3180,Morten Tyldum,2
3181,Daniel Alfredson,2
3182,"Tim Heidecker, Eric Wareheim",1
3183,Paddy Considine,1
3184,Adam Salky,1
3185,Guillermo Arriaga,1
3186,Gary Sinise,1
3187,Steve Gordon,1
3188,Galt Niederhoffer,1
3189,Timothy Linh Bui,1
3190,Stephen Belber,1
3191,Louis C.K.,2
3192,Michael A. Nickles,1
3193,Matthew Hope,1
3194,Lance Daly,1
3195,Jon Harris,1
3196,Robin Hardy,1
3197,Michael Morrissey,1
3198,"Tomm Moore, Nora Twomey(co-director)",1
3199,David Denneen,1
3200,Peter Kosminsky,5
3201,Casey Affleck,1
3202,Panos Cosmatos,1
3203,Bruce Campbell,1
3204,Udayan Prasad,1
3205,Katherine Brooks,1
3206,Richard Greenberg,1
3207,Daniel Attias,1
3208,Eddie Murphy,1
3209,Ira Sachs,1
3210,Mark McQueen,1
3211,Pascal Franchot,1
3212,Cheryl Hines,1
3213,Jonas Pate,2
3214,Mike Clattenburg,4
3215,Gerald McMorrow,1
3216,Stephen Chiodo,1
3217,Sam O'Steen,2
3218,"Mike Judge, Mike de Seve, Brian Mulroney, Yvette Kaplan",1
3219,Chris Kentis,1
3220,"David Nixon, Patrick Doughtie(co-director)",1
3221,Steve Taylor,1
3222,"David Bruckner, Dan Bush, Jacob Gentry",1
3223,Cess Silvera,1
3224,Claudio Fragasso,1
3225,Andrey Zvyagintsev,1
3226,Guillaume Canet,1
3227,Philippe Falardeau,1
3228,Bradley Rust Gray,1
3229,Helen Hunt,1
3230,Jay Levey,1
3231,Daryn Tufts,1
3232,Craig Rosenberg,1
3233,Sean McGinly,1
3234,"Warren Beatty, Buck Henry",1
3235,"Rick Moranis, Dave Thomas",1
3236,Joe Berlinger,2
3237,Cate Shortland,1
3238,Thomas Whelan,1
3239,Tibor Takács,2
3240,"David Nerlich, Andrew Traucki",1
3241,Mitch Rouse,1
3242,"Campbell Scott, Stanley Tucci",1
3243,Jack Nicholson,2
3244,Jared Drake,1
3245,Saran Barnun,1
3246,Zoe R. Cassavetes,1
3247,Robby Henson,1
3248,"Allan Arkush, Joe Dante",1
3249,Steven Kastrissios,1
3250,Edward Anderson,1
3251,Ben Coccio,1
3252,Rod Amateau,2
3253,"Jimmy T. Murakami, Roger Corman",1
3254,Britt Allcroft,1
3255,Tod Harrison Williams,1
3256,Joel Anderson,1
3257,Simon Langton,1
3258,"Barbara Peeters, Jimmy T. Murakami",1
3259,"Mickey Rose, Michael Ritchie",1
3260,Alan Johnson,2
3261,Erick Zonca,1
3262,Zackary Adler,1
3263,Ash Baron-Cohen,1
3264,Kevin Dowling,1
3265,Pete Walker,2
3266,Dan Curtis,4
3267,"Dick Richards, Jerry Jameson",1
3268,"Mike Nawrocki, Phil Vischer",1
3269,Georges Lautner,1
3270,Jim Kohlberg,1
3271,Michel Leclerc,1
3272,"Ola Simonsson, Johannes Stjärne Nilsson",1
3273,"Trygve Allister Diesen, Lucky McKee",1
3274,Claude Berri,1
3275,Chang-dong Lee,1
3276,Anders Thomas Jensen,1
3277,Patrice Leconte,2
3278,Jay Chou,1
3279,Hirokazu Koreeda,1
3280,Sooraj R. Barjatya,1
3281,Ki-duk Kim,1
3282,Masanori Hata,1
3283,Jean-Pierre Melville,1
3284,Stan Lathan,2
3285,Gary Halvorson,1
3286,Maggie Greenwald,2
3287,Alison Maclean,1
3288,Ted Nicolaou,1
3289,David Winters,1
3290,Patrick Garland,2
3291,Perry Henzell,1
3292,Bob Giraldi,2
3293,Mark Jones,1
3294,Bozidar 'Bota' Nikolic,1
3295,Will Vinton,1
3296,William Sterling,1
3297,Cary Medoway,1
3298,Lynne Stopkewich,1
3299,"Geoff Burton, Kevin Dowling",1
3300,Brad Mirman,1
3301,Christopher Morahan,1
3302,Bert I. Gordon,2
3303,Howard Avedis,1
3304,Mario Bava,2
3305,David Beaird,1
3306,Dave Thomas,1
3307,Rich Correll,1
3308,Ralph Nelson,2
3309,"Jeff Gillen, Alan Ormsby",1
3310,Ed Forsyth,1
3311,Barry Shear,1
3312,Robert Dalva,1
3313,Pat Murphy,1
3314,Jon Purdy,1
3315,"Adam Simon, Darren Moloney",1
3316,Brian Clemens,1
3317,Richard Ashe,1
3318,Denis Sanders,1
3319,Kwang-Hyun Park,1
3320,Sergei Bodrov,1
3321,Yôjirô Takita,1
3322,Bahman Ghobadi,1
3323,Javier Fuentes-León,1
3324,Kyung-taek Kwak,1
3325,Silvio Soldini,1
3326,Johnnie To,1
3327,Sandra Nettelbeck,1
3328,Hun Jang,1
3329,Tim Kincaid,1
3330,Bob Kelljan,2
3331,Serge Gainsbourg,1
3332,Jerzy Skolimowski,2
3333,Ivan Passer,2
3334,"James Isaac, David Blyth",1
3335,Roy London,1
3336,Frank De Felitta,1
3337,S.F. Brownrigg,1
3338,Rene Daalder,1
3339,"Willard Huyck, Gloria Katz",1
3340,Jacques Deray,1
3341,"Mel Welles, Aureliano Luppi(co-director)",1
3342,Jean-Paul Rappeneau,1
3343,Lee Grant,1
3344,Earl Barton,1
3345,Ovidio G. Assonitis,1
3346,"Steve Carver, Burt Kennedy",1
3347,Vernon Zimmerman,1
3348,"John Sturges, Duilio Coletti",1
3349,Peter Newbrook,1
3350,Monte Hellman,1
3351,Gordon Wiles,1
3352,"Monte Hellman, Tony Brandt",1
3353,Arthur Barron,1
3354,Waris Hussein,4
3355,Bruce Geller,1
3356,Michael A. DeGaetano,1
3357,Aram Avakian,1
3358,Nagesh Kukunoor,1
3359,Yoon-chul Chung,1
3360,Vladimír Michálek,1
3361,Hrishikesh Mukherjee,1
3362,Seung-wan Ryoo,1
3363,Hans Petter Moland,1
3364,Reha Erdem,1
3365,Darko Mitrevski,1
3366,Chang-hwa Jeong,1
3367,André Téchiné,1
3368,"Aleksa Gajic, Nebojsa Andric(co-director), Stevan Djordjevic(co-director)",1
3369,Dover Koshashvili,1
3370,Jeffrey Lau,1
3371,Paul F. Ryan,1
3372,Shigehiro Ozawa,1
3373,Christine Edzard,1
3374,Krzysztof Zanussi,1
3375,Ivan Sen,1
3376,Jerzy Domaradzki,1
3377,Dickie Jobson,1
3378,"John Berry, Alfred Viola",1
3379,Don Weis,1
3380,"Scott Michael Adams, Adam Henry Garcia, Aden Hakimi",1
3381,Brett Ryan Bonowicz,1
3382,Michael Piotrowski,1
3383,"Scott Gaffney, Murray Wais, Steve Winter",1
3384,Wyeth Clarkson,1
3385,Seth Randal,1
3386,Vincent Caldoni,1
3387,"James Villemaire, Eric Weber",1
3388,"Michael Coleman(co-director), Eric Johnson(co-director)",1
3389,Pat Kelman,1
3390,Vince Sweeney,1
3391,David Steinberg,2
3392,Todd Edwards,1
3393,"Olivier Nakache, Éric Toledano",1
3394,Sacha Gervasi,2
3395,Bennett Miller,2
3396,Simon Curtis,2
3397,"Rob Epstein, Jeffrey Friedman",3
3398,Wayne Blair,1
3399,Patty Jenkins,2
3400,Ericson Core,2
3401,John Krokidas,1
3402,Floria Sigismondi,1
3403,Denzel Washington,3
3404,Sam Taylor-Johnson,2
3405,Newt Arnold,1
3406,Luis Valdez,1
3407,Marc Abraham,1
3408,George Hickenlooper,3
3409,John N. Smith,3
3410,Nikolai Müllerschön,1
3411,Julian Schnabel,2
3412,Edward James Olmos,1
3413,S.J. Clarkson,1
3414,Sherry Hormann,1
3415,Larysa Kondracki,1
3416,"Fenton Bailey, Randy Barbato",3
3417,Bruno Miotto,1
3418,Malik Bendjelloul,1
3419,Bart Layton,1
3420,"James Moore, William Spicer",1
3421,"Benny Safdie, Josh Safdie",1
3422,Olivier Dahan,1
3423,Jeff Orlowski,1
3424,Kenneth Castillo,1
3425,Christopher Menaul,3
3426,Ryan Perez,1
3427,Jonathan Jakubowicz,1
3428,Mat Whitecross,1
3429,Mitch Davis,1
3430,Anthony Fabian,1
3431,Caveh Zahedi,1
3432,Charles S. Dutton,1
3433,Paul Morrison,1
3434,Davis Guggenheim,1
3435,Jon S. Baird,1
3436,Mick Davis,1
3437,Lauren Lazin,1
3438,Niels Mueller,1
3439,David Veloz,1
3440,Caroline Link,1
3441,Steve James,1
3442,Salvador Litvak,1
3443,Buzz Kulik,4
3444,Xavier Koller,1
3445,Richard Roxburgh,1
3446,Chuck Parello,1
3447,Amir Bar-Lev,1
3448,Scott J. Gill,1
3449,Andy Mikita,1
3450,Pete McCormack,1
3451,"Greg Olliver, Wes Orshoski",1
3452,Harry Thomason,1
3453,Jan Harlan,2
3454,"John Little, Bruce Lee",1
3455,Jeff Feuerzeig,1
3456,Richard Press,1
3457,"Matt Harlock, Paul Thomas",1
3458,Alex Gibney,1
3459,Rory Kennedy,1
3460,Andrew Solt,1
3461,"Jenny Abel, Jeff Hockett",1
3462,Jesse Vile,1
3463,Jeff Malmberg,1
3464,"Sean Fine(co-director), Andrea Nix(co-director)",1
3465,"Mike Fleiss, Mike Piscitelli",1
3466,"Nanette Burstein, Brett Morgen",1
3467,"David Leaf, John Scheinfeld",2
3468,Nathaniel Kahn,1
3469,George Paul Csicsery,1
3470,Jessica Yu,1
3471,Anthony Geffen,1
3472,Steven Sawalich,1
3473,"Susan Muska, Gréta Olafsdóttir",1
3474,Brett Morgen,1
3475,Ben Steinbauer,1
3476,Jane Anderson,2
3477,Justin Chadwick,3
3478,Clio Barnard,1
3479,Oren Kaplan,1
3480,Jonathan Caouette,1
3481,James F. Collier,2
3482,"Derek W. Hayes, Stanislav Sokolov",1
3483,Nick Broomfield,2
3484,Timothy Greenfield-Sanders,1
3485,Susanne Rostock,1
3486,Francesco Rosi,1
3487,Gordon Douglas,1
3488,Nicholas Sgarro,1
3489,Robert Enders,1
3490,Peter Brook,2
3491,Earl Bellamy,1
3492,Gordon Parks,1
3493,François Girard,1
3494,Gavin Millar,1
3495,"Michael Apted, Paul Almond",1
3496,Richard Schickel,10
3497,Paul Jay,1
3498,"Mark Achbar, Peter Wintonick",1
3499,Marcel Ophüls,1
3500,Ken Burns,3
3501,"Jim Fields, Michael Gramaglia",1
3502,Margaret Brown,1
3503,John Edginton,1
3504,Bradley Beesley,1
3505,"Joe Boyd, John Head, Gary Weis",1
3506,Frank Martin,1
3507,"Will Lovelace, Dylan Southern",1
3508,Erik Nelson,1
3509,Patty Ivins Specht,1
3510,Stefan Forbes,1
3511,John Dullaghan,1
3512,Dana Heinz Perry,1
3513,"Henriette Mantel, Steve Skrovan",1
3514,Helena Solberg,1
3515,James Dirschberger,1
3516,Ted Haimes,1
3517,Jon Else,1
3518,Jonas Mekas,1
3519,Craig McCall,1
3520,"Peter Jones, Mark A. Catalena(co-director)",1
3521,Ira Wohl,1
3522,Jon Blair,1
3523,Jeffrey Schwarz,3
3524,"Mimi Freedman, Leslie Greif",1
3525,"Rudi Dolezal, Hannes Rossacher",1
3526,"Malcolm Clarke, Stuart Sender",1
3527,Thomas Burstyn,1
3528,Gavin Taylor,1
3529,Jon Ronson,1
3530,Estela Bravo,1
3531,Bridget Terry,1
3532,Rhian Skirving,1
3533,Chris Landreth,1
3534,"Christopher Bird, Kevin Brownlow",3
3535,Charlotte Zwerin,1
3536,"Raphael Alvarez, Tatiana Issa",1
3537,Larry Weitzman,1
3538,Dean Alioto,1
3539,Martina Kudlácek,1
3540,"Damani Baker, Alex Vlack",1
3541,"Dez Vylenz, Moritz Winkler",1
3542,Howard Alk,1
3543,"Barbara Kopple, Cecilia Peck",1
3544,Declan Lowney,1
3545,Errol Morris,2
3546,Mark Rappaport,1
3547,"Duane Baughman, Johnny O'Hara",1
3548,Peter Askin,1
3549,Megumi Sasaki,1
3550,Charles Kiselyak,1
3551,Michael A. Goorjian,1
3552,Aviva Kempner,1
3553,Constantine Nasr,1
3554,Eugene Jarecki,1
3555,Serena Cross,1
3556,Ross McElwee,3
3557,Heinz Bütler,1
3558,"Michael W. Dean, Kenneth Shiffrin",1
3559,"Meiert Avis, Adam Bernstein, Peter Care, Brian De Palma, Jonathan Demme, Ted Demme, Carol Dodds, Danny Goldberg, Arnold Levine, Sean Penn, Anthony Potenza, Tim Robbins, Arthur Rosato, John Sayles, Julian Schlossberg",1
3560,Keith Beauchamp,1
3561,Freida Lee Mock,1
3562,Phil Grabsky,1
3563,Jeroen Berkvens,1
3564,Jean-Pierre Isbouts,1
3565,"Robert Hendrickson, Laurence Merrick",1
3566,Andrew Horn,1
3567,"Laura Craig Gray, Tristan Quinn",1
3568,Toby Keeler,1
3569,"Ricki Stern, Anne Sundberg(co-director)",1
3570,Fredrik Gertten,1
3571,Elaina Archer,1
3572,Michel Negroponte,1
3573,Jamil Dehlavi,1
3574,Oren Jacoby,1
3575,Mika Kaurismäki,1
3576,Stephen Kijak,1
3577,Scott Goldstein,1
3578,Klaartje Quirijns,1
3579,"Jason Cohn, Bill Jersey",1
3580,"Alistair Christopher, Jonathan Hock",1
3581,Damian Pettigrew,1
3582,Kevin Rafferty,1
3583,Hugh Munro Neely,2
3584,Dori Berinstein,1
3585,Edo Bertoglio,1
3586,"Walter Carvalho, Sandra Werneck",1
3587,Kirk Fraser,1
3588,Brett Thompson,1
3589,"Daniele Anastasion, Eric Strauss",1
3590,Alexandra Lipsitz,1
3591,James Crump,1
3592,Paul Cox,1
3593,"Michèle Hozer, Peter Raymont",1
3594,"Terry Dougas, Nikki Frakes, Will Hess",1
3595,Sally Rowe,1
3596,"Daniel O'Connor, Neil Ortenberg",1
3597,Bill Douglas,2
3598,David Heeley,2
3599,"Frank L. Anderson, Barry Poltermann",1
3600,Mark Redhead,1
3601,Laurence Green,1
3602,George Stevens Jr.,2
3603,Susan F. Walker,1
3604,"Ray Manzarek, Rick Schmidlin",1
3605,Tim Irwin,1
3606,David Riva,1
3607,Don Mischer,1
3608,Aiyana Elliott,1
3609,Tarquin Olivier,1
3610,Susan Warms Dryfoos,1
3611,Helmut Schleppi,1
3612,John Korty,5
3613,George Roy,1
3614,Kevin Dunn,1
3615,Saul J. Turell,1
3616,Julie Anderson,1
3617,Josh Rubin,1
3618,Sarah Share,1
3619,Kevin Brownlow,1
3620,"Shelly Dunn Fremont, Vincent Fremont",1
3621,Alistair Donald,1
3622,Lance Bauscher,1
3623,Bruce Ricker,1
3624,Craig Highberger,1
3625,Kenneth Bowser,2
3626,Susanne Ofteringer,1
3627,Gene Feldman,1
3628,Allan Miller,1
3629,"John Catania, Charles D. Ignacio",1
3630,"Steve Binder, Peter H. Hunt",1
3631,Chris Leavens,1
3632,"Janelle Balnicke, David Kennard",1
3633,Manon Briand,1
3634,Ara Chekmayan,1
3635,Anthony Hemingway,1
3636,Madonna,1
3637,"Brenda Chapman, Steve Hickner, Simon Wells",1
3638,Ami Canaan Mann,1
3639,Sean Mathias,1
3640,Dean Wright,1
3641,Jeremy Sims,1
3642,Billy Ray,2
3643,Mark Christopher,1
3644,Peter H. Hunt,2
3645,Yahoo Serious,1
3646,Jim Van Bebber,1
3647,Nikolaj Arcel,2
3648,"George P. Cosmatos, Kevin Jarre",1
3649,Mark Schmidt,1
3650,"Mike Gabriel, Eric Goldberg",1
3651,Akira Kurosawa,1
3652,Fedor Bondarchuk,1
3653,"Peter Ho-Sun Chan, Wai Man Yip(co-director)",1
3654,David Lean,1
3655,Jean-Marc Vallée,1
3656,Darnell Martin,3
3657,Moustapha Akkad,2
3658,Kevin R. Hershberger,1
3659,Eric Till,3
3660,Juraj Jakubisko,1
3661,Kevin Asch,1
3662,Jonathan auf der Heide,1
3663,James Franco,2
3664,Rob Epstein,1
3665,"Matthew Akers, Jeff Dupre(co-director)",1
3666,Liz Garbus,1
3667,Adrian Moat,1
3668,"Marshall Curry, Sam Cullman(co-director)",1
3669,James Strong,1
3670,Jim Loach,1
3671,T.C. Christensen,1
3672,Paul Sampson,1
3673,Samuel Fischer,1
3674,Lech Majewski,1
3675,Tanner Beard,1
3676,Curt A. Sindelar,1
3677,"Peter C. Spencer, Josiah Spencer(co-director)",1
3678,Renzo Martinelli,2
3679,Constantin Werner,1
3680,Bill Anderson,2
3681,Euzhan Palcy,1
3682,"Paul Humfress, Derek Jarman",1
3683,Philip Saville,1
3684,Adrian Shergold,3
3685,Ermanno Olmi,1
3686,David Miller,1
3687,Charlton Heston,1
3688,Leslie Megahey,1
3689,Gary Weis,1
3690,Claude Chabrol,1
3691,Stuart Cooper,2
3692,"John Hanson, Rob Nilsson",1
3693,Aleksandr Sokurov,1
3694,Ennio De Concini,1
3695,Robert Uth,1
3696,"Ken Burns, Lynn Novick",1
3697,"David Ridgen, Nicolas Rossier",1
3698,Edmon Roch,1
3699,"Angus Gibson, Jo Menell",1
3700,Cass Warner,1
3701,Martin Doblmeier,1
3702,Steven M. Martin,1
3703,Mary McDonagh Murphy,1
3704,Tony Palmer,1
3705,Regardt van den Bergh,1
3706,Bill Brummel,1
3707,"Kevin Brownlow, Michael Kloft",1
3708,George Butler,1
3709,Antony Thomas,1
3710,Luke Walker,1
3711,Beate Petersen,1
3712,Andrew Cappelletti,1
3713,Malcolm Leo,1
3714,"Tchavdar Georgiev, Amanda Pope",1
3715,Ralph Ziman,1
3716,Ann Hu,1
3717,Richard Dale,1
3718,Tsuji Hajiki,1
3719,Bill Plympton,1
3720,Danishka Esterhazy,1
3721,Ludmil Staikov,1
3722,Tony Tew,2
3723,"Stephanie Argy, Alec Boehm",1
3724,Nigel Finch,2
3725,"T.C. Christensen, Gary Cook",1
3726,Tom Logan,1
3727,Kieth Merrill,1
3728,Isao Yukisada,1
3729,Shyam Benegal,1
3730,Qunshu Gao,1
3731,"Danie Joubert, Duncan MacNeillie(co-director)",1
3732,"John Krish, Peter Sykes",1
3733,Igor Auzins,1
3734,Jerry Buteyn,1
3735,Audrius Juzenas,1
3736,Tom Hines,1
3737,Michael Austin,1
3738,Josh Evans,1
3739,Oscar D'Roccster,1
3740,Deborah Warner,2
3741,"John Stockwell, Paulette Victor-Lifton",1
3742,"Laura Dern, Bryce Dallas Howard, Bonnie Hunt, Ashley Judd, Sharon Maguire",1
3743,Nick Lyon,2
3744,Charles Binamé,1
3745,W.D. Hogan,1
3746,Eric Laneuville,2
3747,Robert Dornhelm,2
3748,Michael Nankin,1
3749,Griff Furst,2
3750,Paul Hoen,6
3751,Peter DeLuise,1
3752,Allison Liddi-Brown,1
3753,James Hayman,2
3754,Michael Storey,1
3755,Robert Markowitz,5
3756,Kenneth Johnson,1
3757,David Flores,1
3758,Michael Grossman,2
3759,Ross Katz,1
3760,Lloyd Kramer,2
3761,Jason Hreno,1
3762,Peter Winther,1
