,Production,Production Counts
787,Alliance Atlantis Communications,2
788,ThinkFilm Inc,2
789,A. Film Animation Studio,1
790,United Artists Films,2
791,Independent Distribution Partn,1
792,Regent Entertainment,1
793,Fragmighty,1
794,Entertainment Film Distributor,1
795,Cine Bella,1
796,Chal Productions,1
797,Echo Bridge Home Entertainment,3
798,Troma Films,2
799,Zenith Entertainment,1
800,All Channel Films,3
801,Zfilms Inc,1
802,Rank Organisation,3
803,Rochelle Films,1
804,Medusa Produzione,1
805,Scimitar Films,2
806,Rolling Thunder Pictures,1
807,Melvin Simon Productions,1
808,Burbank Studios,1
809,De Laurentiis Entertainment,1
810,Beacon Pictures,1
811,New Zealand,1
812,RTL,1
813,Footprint Films,1
814,Franchise Pictures,1
815,Fireworks Pictures,1
816,Sony Pictures Classic,1
817,Industry Entertainment,1
818,Acorn Media,4
819,Unapix Entertainment,2
820,ContentFilm,1
821,FM Entertainment,1
822,Westchester Films,5
823,Fine Line,1
824,New Horizons,1
825,Broken Lizard,1
826,Guild,1
827,Strange Attractions,1
828,Cinehaus,1
829,Concorde/New Horizons Home Video,7
830,Goldhil Video,1
831,Madacy Home Video,1
832,Electric Pictures,1
833,NHK,1
834,British Screen,2
835,Concorde Pictures,2
836,Central Productions,1
837,MCEG Virgin Entertainment,1
838,Laurel Entertainment,1
839,20th Century Fox Film Corp.,1
840,Astral Films,3
841,Nepenthe Productions,1
842,Virgo International,1
843,VCI Entertainment,3
844,Cinema International Corporation,1
845,Koch Vision,2
846,U.I.P.,1
847,Cannon Group,7
848,De Laurentiis Entertainment Group,1
849,TAFT Entertainment Pictures,1
850,Rocky Mountain,1
851,IMAX/Walt Disney Pictures,1
852,Filmes Cinematografica,1
853,Leucadia Film Corporation,1
854,Arenas Entertainment,1
855,Catchlight Films,1
856,Indican Pictures,1
857,Keystone Pictures,1
858,Providence Entertainment,1
859,Eclectic DVD Distribution,1
860,Troma Entertainment,1
861,Redbus Film Distribution,1
862,Code Red,1
863,Gold Circle Releasing,1
864,Wellspring Media Inc.,3
865,Cult Video,1
866,Goodman-Rosen Productions,1
867,Vestron Pictures,3
868,Worldvision Home Video,4
869,Gaumont,3
870,Grindstone Media,1
871,Scary Movies LLC,1
872,Carlo Ponti Productions,1
873,Cinematograph,1
874,Film Ventures International (FVI),1
875,Hammer Films,1
876,Faces Distributing Corporation,1
877,Gorilla Pictures,1
878,Mid-America Releasing,1
879,Video Treasures,2
880,Cinema Group,1
881,GT Media,1
882,Storm King Productions,1
883,LolaFilms,1
884,Icon Film Distribution Ltd.,1
885,New City Releasing,1
886,8X Entertainment,1
887,Filmsnoir Motion Pictures,1
888,Innovation Film Group,2
889,Unapix,1
890,Overseas Filmgroup,1
891,Angelika Films,1
892,Fries Home Video,1
893,Vestron Pictures Ltd.,1
894,Motion Picture Marketing,1
895,Island Pictures,2
896,Rockers Film Corporation,1
897,Bryanston Films,1
898,Troma,3
899,Scotia International,1
900,Toho Company Ltd.,1
901,Dynamite Entertainment,1
902,RCA Video,1
903,Levitt-Pickman Film Corporation,1
904,Argent Films,1
905,RCA/Columbia,2
906,Filmkameratene AS,1
907,Cheung Yau Production Co.,1
908,Kagan Company Radio Telegraph,1
909,Intra Films,1
910,Bedford Entertainment,1
911,Avenue Pictures Productions,1
912,Franco London Films,4
913,UGC Distribution,1
914,Parallax Pictures,1
915,Prism Entertainment,2
916,Film Four International,2
917,London Weekend Television,1
918,Mars Distribution,1
919,American Cinema,1
920,Joseph Green Pictures,1
921,Hallmark Releasing Corp.,1
922,Taylor-Laughlin Distribution,2
923,Palm Beach Pictures,1
924,Lion&#39;s Share Pictures,1
925,Dimension Pictures,1
926,S&amp;T-Film Berlin,2
927,Allied Artists,1
928,Rialto Films,1
929,Holmby Pictures,1
930,Compact Video Systems Inc.,1
931,International Coproductions,1
932,Simitar,1
933,Shapiro Glickenhaus Entertainment,1
934,Howco International,1
935,Creswin Distribution,1
936,Malofilm Communications,1
937,Compact Yellowbill,1
938,Island Alive,1
939,Joseph Brenner Associates,1
940,Saiko,1
941,Irwin Yablans Company,1
942,April Fools,1
943,Film Ventures International,1
944,Shaw Brothers,1
945,Cinegate Ltd.,1
946,Elite Entertainment,1
947,J. Arthur Rank Productions,1
948,Independent International Pictures Corp.,1
949,Cinemation,2
950,Ambassador Film Distributors,1
951,Twentieth Century Fox Film Corporation,1
952,Rusconi Film,1
953,A.M.A. Film,1
954,Compagnie Commerciale Française Cinématographique,1
955,Brut Productions,1
956,Private Screenings,1
957,Arista Films,1
958,Robert Halmi Productions,1
959,Norstar Releasing,1
960,Arenafilm,1
961,Full Moon,3
962,Dimension Pictures Inc.,2
963,Cinepix,1
964,Brent Walker,1
965,Independent Film Distributors,1
966,"Charles Band, Ltd.",1
967,MVD Entertainment Group,3
968,New Video Group,4
969,Dugong Films,1
970,Lewis Motion Picture Enterprises,1
971,Europix International,1
972,Amicus Productions,1
973,Sunn Classic Pictures,1
974,Cerito Films,1
975,General Film Corporation,1
976,The American Film Theatre,1
977,Euro International Films,1
978,Progress,1
979,Bing Crosby Productions,1
980,Lira Films,1
981,Action Films,1
982,Filmverlag der Autoren,1
983,E.D. Corporation,1
984,ABS-CBN,1
985,B.E.E.,1
986,Cineplex Odeon / Nelvana,1
987,New Visions,1
988,Monarch Home Video,1
989,Vox Film,1
990,Criterion Pictures Corp.,1
991,Anglo-EMI Productions Ltd.,2
992,Svensk Filmindustri,1
993,Cinerama Releasing Corporation,1
994,Anglo-EMI Film Distributors,1
995,Showking Films,1
996,Jack H. Harris Enterprises,1
997,III Star Releasing,1
998,Picturmedia,1
999,Cinemaster S.r.l.,1
1000,Paragon Home Video,1
1001,Toho Company,1
1002,Kibbee &amp; Hargrove Productions,1
1003,Hanna-Barbera Productions,2
1004,Criterion,1
1005,Mulberry Square Releasing,1
1006,National Geographic,2
1007,Lightsource,1
1008,Netflix,6
1009,Lionsgate Films/Summit Entertainment,1
1010,Big Pictures,1
1011,Eros Entertainment,1
1012,20th Century Fox/Emerging Pictures,1
1013,ATO Pictures,3
1014,The Film District,1
1015,New Line Cinema/Warner Bros. Pictures,1
1016,Rosebud Communications Releasing,1
1017,Inferno Entertainment,1
1018,The Orchard,1
1019,Fever Productions,1
1020,"Quite Nice Pictures, LLC",1
1021,Nickelodeon Movies,1
1022,Lili Claire Communications,1
1023,Vanguard Cinema,1
1024,Tartan Films,1
1025,Magnet/Magnolia Pictures,1
1026,Sherwood Pictures,1
1027,Screenvision,1
1028,Metro-Goldwyn-Mayer Pictures,1
1029,Benaroya Pictures,1
1030,Moving Pictures,1
1031,Speakeasy Releasing,1
